frequency,raw
4550.0,10.833
4620.0,10.705
4680.0,10.587
4750.0,10.438
4820.0,10.289
4870.0,10.182
4940.0,10.039
5000.0,9.94
5080.0,9.835
5150.0,9.747
5220.0,9.658
5300.0,9.54
5380.0,9.399
5450.0,9.264
5520.0,9.129
5600.0,8.978
5700.0,8.801
5800.0,8.637
5900.0,8.476
6000.0,8.311
6080.0,8.161
6150.0,8.029
6220.0,7.901
6300.0,7.759
6400.0,7.577
6500.0,7.388
6600.0,7.186
6700.0,6.96
6800.0,6.71
6900.0,6.458
7000.0,6.21
7100.0,5.946
7200.0,5.663
7300.0,5.374
7400.0,5.088
7500.0,4.809
7620.0,4.487
7750.0,4.145
7880.0,3.807
8000.0,3.496
8120.0,3.183
8250.0,2.855
8380.0,2.535
8500.0,2.239
8620.0,1.935
8750.0,1.617
8850.0,1.383
9000.0,1.038
9120.0,0.759
9250.0,0.459
9380.0,0.161
9500.0,-0.112
9620.0,-0.38
9750.0,-0.659
9880.0,-0.93
10000.0,-1.179
10150.0,-1.483
10300.0,-1.761
10440.0,-1.999
10600.0,-2.248
10750.0,-2.464
10900.0,-2.67
11060.0,-2.874
11200.0,-3.046
11380.0,-3.256
11500.0,-3.388
11720.0,-3.608
11800.0,-3.678
12060.0,-3.874
12200.0,-3.971
12410.0,-4.076
12500.0,-4.113
12650.0,-4.177
12800.0,-4.239
13150.0,-4.359
13200.0,-4.372
13400.0,-4.403
13600.0,-4.417
13800.0,-4.418
14000.0,-4.413
14300.0,-4.428
14500.0,-4.448
14750.0,-4.464
15000.0,-4.49
15250.0,-4.587
15500.0,-4.731
15750.0,-4.882
16000.0,-5.063
16250.0,-5.328
16500.0,-5.629
16750.0,-5.956
17000.0,-6.336
17250.0,-6.824
17500.0,-7.391
17750.0,-8.02
18000.0,-8.728
18250.0,-9.549
18500.0,-10.453
18750.0,-11.39
19000.0,-12.37
19250.0,-13.454
19500.0,-14.601
19750.0,-15.679
20000.0,-16.632
