frequency,raw
4500.0,9.67
4550.0,9.62
4620.0,9.47
4680.0,9.28
4750.0,8.97
4820.0,8.6
4870.0,8.3
4940.0,7.86
5000.0,7.48
5080.0,6.99
5150.0,6.6
5220.0,6.26
5300.0,5.93
5380.0,5.67
5450.0,5.49
5520.0,5.36
5600.0,5.25
5700.0,5.16
5800.0,5.07
5900.0,4.96
6000.0,4.83
6080.0,4.73
6150.0,4.63
6220.0,4.54
6300.0,4.43
6400.0,4.3
6500.0,4.17
6600.0,4.04
6700.0,3.93
6800.0,3.83
6900.0,3.75
7000.0,3.69
7100.0,3.66
7200.0,3.6
7300.0,3.68
7400.0,3.72
7500.0,3.79
7620.0,3.91
7750.0,4.1
7880.0,4.38
8000.0,4.7
8120.0,5.1
8250.0,5.6
8380.0,6.24
8500.0,6.89
8620.0,7.63
8750.0,8.51
8850.0,9.21
9000.0,10.21
9120.0,10.84
9250.0,11.24
9380.0,11.3
9500.0,11.05
9620.0,10.52
9750.0,9.66
9880.0,8.59
10000.0,7.5
10150.0,6.14
10300.0,4.87
10440.0,3.8
10600.0,2.74
10750.0,1.9
10900.0,1.24
11060.0,0.76
11200.0,0.47
11380.0,0.21
11500.0,0.09
11720.0,-0.0
11800.0,-0.13
12060.0,-0.53
12200.0,-0.92
12410.0,-1.73
12500.0,-2.1
12650.0,-2.86
12800.0,-3.6
13150.0,-5.21
13200.0,-5.42
13400.0,-6.17
13600.0,-6.79
13800.0,-7.28
14000.0,-7.64
14300.0,-7.94
14500.0,-7.97
14750.0,-7.85
15000.0,-7.5
15250.0,-7.22
15500.0,-6.75
15750.0,-6.21
16000.0,-5.6
16250.0,-4.93
16500.0,-4.23
16750.0,-3.63
17000.0,-3.23
17250.0,-3.04
17500.0,-2.91
17750.0,-2.7
18000.0,-2.6
18250.0,-2.95
18500.0,-3.74
18750.0,-4.66
19000.0,-5.5
19250.0,-6.37
19500.0,-7.51
19750.0,-8.87
20000.0,-9.85
