frequency,raw
2620.0,8.57219
2650.0,8.62883
2690.0,8.68013
2720.0,8.70719
2760.0,8.73801
2800.0,8.76914
2850.0,8.8097
2900.0,8.85174
2950.0,8.89456
3000.0,8.93116
3040.0,8.94497
3070.0,8.94255
3110.0,8.92653
3150.0,8.90537
3200.0,8.87643
3250.0,8.8342
3300.0,8.76776
3350.0,8.68356
3400.0,8.59363
3450.0,8.50321
3500.0,8.41094
3550.0,8.31516
3600.0,8.21784
3650.0,8.12073
3700.0,8.02261
3750.0,7.92064
3820.0,7.77061
3870.0,7.6615
3950.0,7.48876
4000.0,7.38152
4060.0,7.25232
4120.0,7.12241
4180.0,6.99202
4250.0,6.84055
4310.0,6.7121
4370.0,6.58438
4440.0,6.43506
4500.0,6.30615
4550.0,6.19838
4620.0,6.04765
4680.0,5.91864
4750.0,5.76836
4820.0,5.61896
4870.0,5.514
4940.0,5.37236
5000.0,5.2572
5080.0,5.10961
5150.0,4.98381
5220.0,4.8606
5300.0,4.72154
5380.0,4.58357
5450.0,4.46336
5520.0,4.34445
5600.0,4.21108
5700.0,4.04777
5800.0,3.88844
5900.0,3.73294
6000.0,3.58024
6080.0,3.45865
6150.0,3.35152
6220.0,3.2424
6300.0,3.11399
6400.0,2.94947
6500.0,2.78682
6600.0,2.63131
6700.0,2.48365
6800.0,2.34208
6900.0,2.20149
7000.0,2.05318
7100.0,1.89092
7200.0,1.71843
7300.0,1.54521
7400.0,1.37893
7500.0,1.22364
7620.0,1.05279
7750.0,0.885985
7880.0,0.749075
8000.0,0.675353
8120.0,0.668757
8250.0,0.716398
8380.0,0.789522
8500.0,0.866967
8620.0,0.951866
8750.0,1.05214
8850.0,1.13277
9000.0,1.25198
9120.0,1.33988
9250.0,1.42007
9380.0,1.47822
9500.0,1.51211
9620.0,1.52876
9750.0,1.52147
9880.0,1.46706
10000.0,1.34738
10150.0,1.09183
10300.0,0.753584
10440.0,0.401592
10600.0,-0.022733
10750.0,-0.438513
10900.0,-0.868798
11060.0,-1.33538
11200.0,-1.74388
11380.0,-2.26398
11500.0,-2.60571
11720.0,-3.21834
11800.0,-3.43503
12060.0,-4.10631
12200.0,-4.4287
12410.0,-4.81906
12500.0,-4.94456
12650.0,-5.09964
12800.0,-5.20611
13150.0,-5.38011
13200.0,-5.40227
13400.0,-5.48721
13600.0,-5.56407
13800.0,-5.6325
14000.0,-5.70216
14300.0,-5.83142
14500.0,-5.93241
14750.0,-6.06355
15000.0,-6.2061
15250.0,-6.38522
15500.0,-6.60683
15750.0,-6.87195
16000.0,-7.22805
16250.0,-7.72423
16500.0,-8.3297
16750.0,-8.98761
17000.0,-9.67096
17250.0,-10.3722
17500.0,-11.0896
17750.0,-11.8229
18000.0,-12.5684
18250.0,-13.3179
18500.0,-14.0574
18750.0,-14.7683
19000.0,-15.4437
19250.0,-16.0897
19500.0,-16.7053
19750.0,-17.2676
20000.0,-17.662
